"Species","Year","q05","q50","mean","q95"
"COTE",1989,21171.7109407116,28125.6513128201,29310.8495091091,40033.2850872267
"COTE",1990,21530.8494828133,28510.9150872291,29684.1713177717,40523.4490441536
"COTE",1991,21860.8102809017,28825.0829040971,30061.3645704042,41024.6360826392
"COTE",1992,22205.0233763187,29174.7446918418,30438.4918839139,41544.9820208868
"COTE",1993,22542.881646908,29555.2774317579,30812.4327473077,41916.044105582
"COTE",1994,22934.4750859407,29926.0254346301,31181.4034392608,42381.706757495
"COTE",1995,23362.8588368108,30306.0919502442,31545.3221639313,42585.8493456182
"COTE",1996,23824.4781577917,30672.8625582566,31905.9517270099,42568.0169566475
"COTE",1997,24269.6209927152,31037.2214084901,32266.7866774149,42588.5179249737
"COTE",1998,24810.105591616,31451.2418447121,32632.6925243569,42629.0220187838
"COTE",1999,25388.26775651,31865.7713261133,33009.3425532499,42626.3670616125
"COTE",2000,25931.7066801496,32302.5685746772,33402.5255809547,43034.9724836068
"COTE",2001,26472.3921720851,32777.6880182804,33817.4121794743,43096.5919199321
"COTE",2002,26955.2175080695,33260.4553403308,34257.8680900246,43429.1902376152
"COTE",2003,27457.6650117621,33684.2743015272,34725.8950896046,43837.4279256056
"COTE",2004,27953.0251157422,34190.7103538908,35221.2652243542,44385.8649899698
"COTE",2005,28375.9033280725,34628.0507887868,35741.3963791201,45115.3717191287
"COTE",2006,28728.4901571784,35143.0427113254,36281.4957883531,45763.1484407554
"COTE",2007,29087.0259802059,35645.4545389637,36834.9722017586,46777.3600159031
"COTE",2008,29382.021104567,36159.5860755443,37394.0864677949,47669.5130632697
"COTE",2009,29766.9843840965,36610.3408022687,37950.7763109522,48570.5362324935
"COTE",2010,30038.067744838,37108.3898682551,38497.5595951381,49807.6279928405
"COTE",2011,30203.5950546921,37579.8057343488,39028.3995396073,50887.3949146444
"COTE",2012,30445.4842210732,38044.8471272069,39539.4131321486,51872.9244637202
"COTE",2013,30674.1303934788,38458.3440033682,40029.3244335187,53007.1171035331
"COTE",2014,30886.8958703154,38831.8348340158,40499.6050887369,54047.818166892
"COTE",2015,30920.1413091915,39257.8574336153,40954.2960014254,55092.4009292631
"COTE",2016,31123.1311230679,39624.6579668703,41399.553813093,56655.1181046429
"COTE",2017,31120.6201293481,39982.8085592769,41843.0012468072,58167.1455400274
"COTE",2018,30983.0491236814,40367.5377073859,42292.9738724429,59486.3665023259
"COTE",2019,30819.9729148404,40779.9275358634,42757.7462955292,61114.8446816225
"COTE",2020,30659.0445186324,41128.6519364844,43244.7929580224,62415.2263479236
"COTE",2021,30489.3479278659,41572.7105606393,43760.1013541535,64054.1979309795
"DCCO",1950,3511.77144153715,11228.2703969724,17215.6764840225,45823.1924947348
"DCCO",1951,3676.96572590641,11401.0594487915,16963.3808750796,44524.0488143054
"DCCO",1952,3814.11765512363,11529.8733615545,16746.8634928993,42894.6115559484
"DCCO",1953,4022.58902058702,11647.9764777573,16560.6200952934,41950.8956832186
"DCCO",1954,4274.62902868954,11826.1019002484,16398.6626374796,40188.8048206391
"DCCO",1955,4443.84987939884,11984.3351351471,16254.9259889012,38586.8213868565
"DCCO",1956,4688.60161174659,12143.467976827,16123.6748371057,37935.0418412389
"DCCO",1957,4864.16399358498,12279.8392062114,15999.9102351373,36502.7211978168
"DCCO",1958,5093.08532625221,12449.0318576553,15879.7521394393,35328.9268937301
"DCCO",1959,5322.19552536232,12631.0286638466,15760.7581188799,34859.6053180817
"DCCO",1960,5532.35346922737,12784.1614564482,15642.1336417,33589.4936647141
"DCCO",1961,5755.55371949672,12937.5609228092,15524.797944354,32588.4099871024
"DCCO",1962,6077.80049319047,13107.9121431819,15411.2896739674,31073.8496131718
"DCCO",1963,6300.39364314037,13259.0984015848,15305.5226845615,29845.8096387152
"DCCO",1964,6595.17276468848,13423.819175191,15212.4268537089,28863.6851307289
"DCCO",1965,6916.22029765512,13546.4529233601,15137.5246170763,28180.1710216113
"DCCO",1966,7223.63482964625,13695.7240666607,15086.4975004154,27381.2474359627
"DCCO",1967,7544.81390689073,13876.9863645796,15064.7890552568,26537.1334360578
"DCCO",1968,7925.63343927129,14015.623045775,15077.2755186578,25348.2857804094
