"Species","Year","q05","q50","mean","q95"
"RAZO",1992,21813.7896893769,26566.9159570017,26769.1678936288,32348.8303914977
"RAZO",1993,23439.1059400041,28488.6993599503,28722.303484472,34769.8201650976
"RAZO",1994,25294.4870292935,30532.0180914365,30809.785183906,37220.7690792152
"RAZO",1995,27181.8907137244,32764.9110985774,33019.0375133265,39726.026665621
"RAZO",1996,29255.9822070023,35092.1935626849,35338.1886586448,42282.6728327422
"RAZO",1997,31421.3229875364,37475.2937047788,37757.3609481147,44844.7750326824
"RAZO",1998,33872.4653057084,40031.6849777445,40269.5796477012,47404.3114246675
"RAZO",1999,36371.2570469356,42592.6106036168,42871.1498101284,50032.4197882681
"RAZO",2000,38787.4529295503,45326.4684470734,45561.4551070146,53075.9843918054
"RAZO",2001,41405.3135579387,48173.0099015286,48342.2375539551,56031.9274652164
"RAZO",2002,44037.3845639181,51113.8822160137,51216.504760441,59312.7632879165
"RAZO",2003,46671.174134358,54084.0058249683,54187.274022468,62894.8507540539
"RAZO",2004,49316.0119892361,57002.8093663362,57256.398759972,66325.3173832906
"RAZO",2005,51930.1199381507,60093.7723302957,60423.7313008201,70242.2570562462
"RAZO",2006,54597.9792816133,63290.7112159406,63686.8522588432,74398.9753928135
"RAZO",2007,57160.7587754589,66626.6881091459,67041.5337917349,78706.2174968729
"RAZO",2008,59886.9901242084,70003.4334771089,70482.9979919538,82962.266141549
"RAZO",2009,62701.4648247871,73305.1335382472,74007.8892918931,87351.1854629668
"RAZO",2010,65462.8444999787,76938.7145803244,77616.7237758529,91589.4922494959
"RAZO",2011,68272.5895632934,80691.0535924862,81316.4461522792,96168.5111493209
"RAZO",2012,70930.1131514609,84342.695692901,85122.6588743355,101460.792886433
"RAZO",2013,73396.9362464516,88235.9921671586,89061.1175546829,107155.486535579
"RAZO",2014,75521.9601303705,92224.0445577585,93168.2153201995,114003.630802042
"RAZO",2015,77224.1494065924,96378.8084924728,97490.3770978137,121237.111088591
"RAZO",2016,78675.1280087869,100446.294101762,102082.501798158,129868.702144186
"RAZO",2017,80198.2186225855,104980.349675995,107005.772256234,139843.132943973
"RAZO",2018,81384.4592011042,109855.327359898,112325.262565278,150646.666788908
"RAZO",2019,82427.7451365699,115048.995846512,118107.798900648,162989.124654531
"RAZO",2020,83163.624293199,120499.500969881,124420.484840574,176504.813615021
"RAZO",2021,84049.9923021852,126648.471337162,131330.211784804,192892.751503339
"ROST",1950,0.549587378190366,28.2152578779095,207104.508271611,732.996833687057
"ROST",1951,0.577392209283861,28.4430326040677,129808.601102184,690.54133223283
"ROST",1952,0.57895825260818,28.4218319694919,81956.683516663,627.126313433136
"ROST",1953,0.614220873190073,28.5372778258269,52184.0592053498,597.585620853762
"ROST",1954,0.670040963385366,28.7442437690905,33556.5674338382,566.686490781683
"ROST",1955,0.731722839023217,28.8176298841242,21831.7921289274,518.054891225075
"ROST",1956,0.768351910185379,28.9687176004282,14402.856607956,485.200629217911
"ROST",1957,0.829439940622097,29.1732452715587,9659.80795644058,456.196592996656
"ROST",1958,0.876445643055571,29.2986314071713,6603.45762634233,435.692862071264
"ROST",1959,0.965938302042252,29.4404645130233,4611.04133148831,415.564516097855
"ROST",1960,1.05921894933048,29.6209581005501,3293.14767170372,387.589574936238
"ROST",1961,1.16498819236385,29.7805743171604,2405.71724790692,367.090218809221
"ROST",1962,1.31408431935115,29.8611907072046,1795.50508420502,353.285834053882
"ROST",1963,1.45749368328734,30.0712126480478,1366.06944032227,326.696578947074
"ROST",1964,1.59402366390739,30.4223937734346,1056.48136450508,312.30265505961
"ROST",1965,1.87036298694828,30.5633880413238,827.98903973728,297.040673359836
"ROST",1966,2.18266181595451,30.9845862772295,655.685440490939,277.742719408926
"ROST",1967,2.5432673211736,31.3489047835716,523.326738121784,271.490653535414
"ROST",1968,2.89807712759141,31.8414007102521,420.126768451622,259.441470105241
"ROST",1969,3.37066380253355,31.9334913014529,338.778619539736,246.127275620428
"ROST",1970,3.81476626238241,32.2685204494018,274.226463750602,238.194509947953
"ROST",1971,4.33009996764406,32.8854783912334,222.888140648141,235.3608049239
"ROST",1972,4.9909360415416,33.1905803570968,182.146947615936,220.631721623854
"ROST",1973,5.59827803377011,33.5451846236192,150.009523602739,210.312543357391
"ROST",1974,6.33765346675868,33.8225374328548,124.876293471915,205.095633417856
"ROST",1975,6.93299340697405,34.2725186669629,105.398093742308,187.502863000023
"ROST",1976,7.49428047343222,34.3172045023337,90.4026643471648,177.544659989082
"ROST",1977,8.02982196770728,34.4853090854555,78.873459844489,170.212738819613
"ROST",1978,8.7541337818949,34.4768015814446,69.9577130477683,162.797565916357
"ROST",1979,9.62254242416593,34.6589792543991,62.9785196147498,151.918998183135
"ROST",1980,10.3085839554439,34.8724336759423,57.4319756621534,142.570643461591
"ROST",1981,11.2030945990004,34.8310245199759,52.9636732487105,128.319687569664
"ROST",1982,12.0096114480557,35.0044852271151,49.3317414021176,117.507916045883
